Count;Name;Angle;Color;Delta X;Delta Y;Delta Z;End X;End Y;End Z;Hyperlink;Layer;Length;Linetype;Linetype Scale;Lineweight;Plot Style;Start X;Start Y;Start Z;Thickness
1;Line;272.29;ByLayer;1.4949;-37.4312;0.0000;12093.6444;6940.2484;0.0000;;L_8;37.4611;ByLayer;1.0000;ByLayer;ByLayer;12092.1495;6977.6796;0.0000;0.0000
1;Line;271.24;ByLayer;0.8193;-37.8469;0.0000;12095.6242;6864.7777;0.0000;;L_8;37.8558;ByLayer;1.0000;ByLayer;ByLayer;12094.8048;6902.6246;0.0000;0.0000
1;Line;270.19;ByLayer;0.1285;-38.3581;0.0000;12096.2251;6788.3208;0.0000;;L_8;38.3583;ByLayer;1.0000;ByLayer;ByLayer;12096.0966;6826.6789;0.0000;0.0000
1;Line;270.71;ByLayer;0.4724;-38.0988;0.0000;12096.0966;6826.6789;0.0000;;L_8;38.1017;ByLayer;1.0000;ByLayer;ByLayer;12095.6242;6864.7777;0.0000;0.0000
1;Line;278.27;ByLayer;14.7330;-101.3729;0.0000;12048.7944;7435.6077;0.0000;;L_9;102.4379;ByLayer;1.0000;ByLayer;ByLayer;12034.0613;7536.9807;0.0000;0.0000
1;Line;278.98;ByLayer;16.3606;-103.4841;0.0000;12034.0613;7536.9807;0.0000;;L_9;104.7694;ByLayer;1.0000;ByLayer;ByLayer;12017.7007;7640.4648;0.0000;0.0000
1;Line;277.41;ByLayer;12.9798;-99.8423;0.0000;12061.7742;7335.7655;0.0000;;L_9;100.6824;ByLayer;1.0000;ByLayer;ByLayer;12048.7944;7435.6077;0.0000;0.0000
1;Line;337.36;ByLayer;21.2821;-8.8780;0.0000;11889.4358;8463.8481;0.0000;;L_10;23.0596;ByLayer;1.0000;ByLayer;ByLayer;11868.1537;8472.7261;0.0000;0.0000
1;Line;276.40;ByLayer;11.1011;-98.8921;0.0000;12072.8753;7236.8734;0.0000;;L_9;99.5132;ByLayer;1.0000;ByLayer;ByLayer;12061.7742;7335.7655;0.0000;0.0000
1;Line;279.55;ByLayer;17.8626;-106.1757;0.0000;12017.7007;7640.4648;0.0000;;L_9;107.6678;ByLayer;1.0000;ByLayer;ByLayer;11999.8381;7746.6405;0.0000;0.0000
1;Line;280.44;ByLayer;22.6147;-122.7471;0.0000;11938.4942;8087.1223;0.0000;;L_9;124.8129;ByLayer;1.0000;ByLayer;ByLayer;11915.8796;8209.8693;0.0000;0.0000
1;Line;280.37;ByLayer;23.4887;-128.3411;0.0000;11915.8796;8209.8693;0.0000;;L_9;130.4728;ByLayer;1.0000;ByLayer;ByLayer;11892.3908;8338.2104;0.0000;0.0000
1;Line;280.40;ByLayer;21.6150;-117.7335;0.0000;11960.1093;7969.3887;0.0000;;L_9;119.7013;ByLayer;1.0000;ByLayer;ByLayer;11938.4942;8087.1223;0.0000;0.0000
1;Line;279.97;ByLayer;19.2390;-109.4478;0.0000;11999.8381;7746.6405;0.0000;;L_9;111.1259;ByLayer;1.0000;ByLayer;ByLayer;11980.5991;7856.0883;0.0000;0.0000
1;Line;280.25;ByLayer;20.4898;-113.3004;0.0000;11980.5991;7856.0883;0.0000;;L_9;115.1383;ByLayer;1.0000;ByLayer;ByLayer;11960.1093;7969.3887;0.0000;0.0000
1;Line;56.04;ByLayer;153.6054;228.0556;0.0000;10968.5552;9048.4049;0.0000;;L_3;274.9618;ByLayer;1.0000;ByLayer;ByLayer;10814.9498;8820.3493;0.0000;0.0000
1;Line;56.80;ByLayer;102.0301;155.9412;0.0000;10814.9498;8820.3493;0.0000;;L_3;186.3540;ByLayer;1.0000;ByLayer;ByLayer;10712.9197;8664.4081;0.0000;0.0000
1;Line;55.15;ByLayer;84.2693;121.0304;0.0000;11052.8245;9169.4353;0.0000;;L_3;147.4777;ByLayer;1.0000;ByLayer;ByLayer;10968.5552;9048.4049;0.0000;0.0000
1;Line;49.03;ByLayer;67.3519;77.5505;0.0000;11254.2948;9424.4719;0.0000;;L_3;102.7149;ByLayer;1.0000;ByLayer;ByLayer;11186.9429;9346.9215;0.0000;0.0000
1;Line;52.92;ByLayer;134.1184;177.4861;0.0000;11186.9429;9346.9215;0.0000;;L_3;222.4614;ByLayer;1.0000;ByLayer;ByLayer;11052.8245;9169.4353;0.0000;0.0000
1;Line;57.42;ByLayer;186.8439;292.4399;0.0000;10712.9197;8664.4081;0.0000;;L_3;347.0328;ByLayer;1.0000;ByLayer;ByLayer;10526.0758;8371.9681;0.0000;0.0000
1;Line;280.98;ByLayer;23.5075;-121.2173;0.0000;11804.1790;8833.0270;0.0000;;L_10;123.4757;ByLayer;1.0000;ByLayer;ByLayer;11780.6715;8954.2443;0.0000;0.0000
1;Line;282.16;ByLayer;25.3035;-117.4586;0.0000;11780.6715;8954.2443;0.0000;;L_10;120.1532;ByLayer;1.0000;ByLayer;ByLayer;11755.3679;9071.7030;0.0000;0.0000
1;Line;280.25;ByLayer;22.1369;-122.3705;0.0000;11826.3159;8710.6565;0.0000;;L_10;124.3567;ByLayer;1.0000;ByLayer;ByLayer;11804.1790;8833.0270;0.0000;0.0000
1;Line;280.01;ByLayer;20.6461;-117.0121;0.0000;11868.1537;8472.7261;0.0000;;L_10;118.8196;ByLayer;1.0000;ByLayer;ByLayer;11847.5075;8589.7382;0.0000;0.0000
1;Line;279.94;ByLayer;21.1917;-120.9183;0.0000;11847.5075;8589.7382;0.0000;;L_10;122.7612;ByLayer;1.0000;ByLayer;ByLayer;11826.3159;8710.6565;0.0000;0.0000
1;Line;330.96;ByLayer;24.1446;-13.4064;0.0000;11547.5633;9547.9656;0.0000;;L_3;27.6169;ByLayer;1.0000;ByLayer;ByLayer;11523.4186;9561.3720;0.0000;0.0000
1;Line;343.38;ByLayer;25.3953;-7.5806;0.0000;11523.4186;9561.3720;0.0000;;L_3;26.5025;ByLayer;1.0000;ByLayer;ByLayer;11498.0234;9568.9526;0.0000;0.0000
1;Line;316.17;ByLayer;44.7542;-42.9618;0.0000;11592.3175;9505.0038;0.0000;;L_3;62.0376;ByLayer;1.0000;ByLayer;ByLayer;11547.5633;9547.9656;0.0000;0.0000
1;Line;294.81;ByLayer;36.4844;-78.9403;0.0000;11669.2042;9363.7838;0.0000;;L_3;86.9637;ByLayer;1.0000;ByLayer;ByLayer;11632.7199;9442.7241;0.0000;0.0000
1;Line;302.97;ByLayer;40.4024;-62.2796;0.0000;11632.7199;9442.7241;0.0000;;L_3;74.2368;ByLayer;1.0000;ByLayer;ByLayer;11592.3175;9505.0038;0.0000;0.0000
1;Line;357.82;ByLayer;30.1543;-1.1488;0.0000;11498.0234;9568.9526;0.0000;;L_3;30.1762;ByLayer;1.0000;ByLayer;ByLayer;11467.8691;9570.1014;0.0000;0.0000
1;Line;37.29;ByLayer;63.3927;48.2800;0.0000;11383.6529;9537.6236;0.0000;;L_3;79.6843;ByLayer;1.0000;ByLayer;ByLayer;11320.2602;9489.3436;0.0000;0.0000
1;Line;44.52;ByLayer;65.9654;64.8717;0.0000;11320.2602;9489.3436;0.0000;;L_3;92.5190;ByLayer;1.0000;ByLayer;ByLayer;11254.2948;9424.4719;0.0000;0.0000
1;Line;28.81;ByLayer;30.3609;16.6954;0.0000;11414.0137;9554.3190;0.0000;;L_3;34.6485;ByLayer;1.0000;ByLayer;ByLayer;11383.6529;9537.6236;0.0000;0.0000
